ARK | Intel® Product Specification Comparison
08/24/2023 09:02:23 PM
 ,Intel® Core™ i7-7740X X-series Processor ,Intel® Core™ i7-8550U Processor ,Intel® Core™ i7-7800X X-series Processor ,Intel® Core™ i7-7820X X-series Processor ,Intel® Core™ i7-8650U Processor ,Intel® Core™ i7-8700K Processor ,Intel® Core™ i7-8700 Processor ,Intel® Core™ i7-8700T Processor ,Intel® Core™ i7-8706G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8809G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8705G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-12700TE Processor ,Intel® Core™ i7-12700E Processor ,Intel® Core™ i7-12700H Processor ,Intel® Core™ i7-12700 Processor ,Intel® Core™ i7-12700F Processor ,Intel® Core™ i7-12700K Processor ,Intel® Core™ i7-12700KF Processor ,Intel® Core™ i7-12700T Processor ,Intel® Core™ i7-8850H Processor ,Intel® Core™ i7-8700B Processor ,Intel® Core™ i7-8750H Processor ,Intel® Core™ i7-8559U Processor ,Intel® Core™ i7-8086K Processor ,Intel® Core™ i7-8706G Processor with Radeon™ Pro WX Vega M GL graphics ,Intel® Core™ i7-8565U Processor ,Intel® Core™ i7-8500Y Processor ,Intel® Core™ i7-9700K Processor ,Intel® Core™ i7-9800X X-series Processor ,Intel® Core™ i7-9700KF Processor ,Intel® Core™ i7-9750H Processor ,Intel® Core™ i7-9750HF Processor ,Intel® Core™ i7-9850H Processor ,Intel® Core™ i7-9700T Processor ,Intel® Core™ i7-8569U Processor ,Intel® Core™ i7-9700 Processor ,Intel® Core™ i7-8557U Processor ,Intel® Core™ i7-8665UE Processor ,Intel® Core™ i7-8665U Processor ,Intel® Core™ i7-9700F Processor ,Intel® Core™ i7-9700E Processor ,Intel® Core™ i7-9850HE Processor ,Intel® Core™ i7-9700TE Processor ,Intel® Core™ i7-9850HL Processor ,Intel® Core™ i7-10710U Processor ,Intel® Core™ i7-10510U Processor ,Intel® Core™ i7-10510Y Processor ,Intel® Core™ i7-11370H Processor ,Intel® Core™ i7-11375H Processor ,Intel® Core™ i7-10700T Processor ,Intel® Core™ i7-10700 Processor ,Intel® Core™ i7-10700F Processor ,Intel® Core™ i7-10700KF Processor ,Intel® Core™ i7-10700K Processor ,Intel® Core™ i7-10750H Processor ,Intel® Core™ i7-10810U Processor ,Intel® Core™ i7-10610U Processor ,Intel® Core™ i7-10850H Processor ,Intel® Core™ i7-10875H Processor ,Intel® Core™ i7-10700TE Processor ,Intel® Core™ i7-10700E Processor ,Intel® Core™ i7-10870H Processor ,Intel® Core™ i7-11700K Processor ,Intel® Core™ i7-11700KF Processor ,Intel® Core™ i7-11700T Processor ,Intel® Core™ i7-11700 Processor ,Intel® Core™ i7-11700F Processor ,Intel® Core™ i7-11850H Processor ,Intel® Core™ i7-11600H Processor ,Intel® Core™ i7-11800H Processor ,Intel® Core™ i7-11390H Processor ,Intel® Core™ i7-11850HE Processor ,Intel® Core™ i7-12800HE Processor ,Intel® Core™ i7-12800HX Processor ,Intel® Core™ i7-12800H Processor ,Intel® Core™ i7-12650H Processor ,Intel® Core™ i7-12850HX Processor ,Intel® Core™ i7-12700HL Processor ,Intel® Core™ i7-12650HX Processor ,Intel® Core™ i7-12800HL Processor ,Intel® Core™ i7-13700KF Processor ,Intel® Core™ i7-13700 Processor ,Intel® Core™ i7-13700F Processor ,Intel® Core™ i7-13700T Processor ,Intel® Core™ i7-13700K Processor ,Intel® Core™ i7-13650HX Processor ,Intel® Core™ i7-13700H Processor ,Intel® Core™ i7-13620H Processor ,Intel® Core™ i7-13700TE Processor ,Intel® Core™ i7-13705H Processor ,Intel® Core™ i7-13800HE Processor ,Intel® Core™ i7-13850HX Processor ,Intel® Core™ i7-13800H Processor ,Intel® Core™ i7-13700HX Processor ,Intel® Core™ i7-13700E Processor ,Intel® Core™ i7-13800HRE Processor ,Intel® Core™ i7-6820HK Processor ,Intel® Core™ i7-6820HQ Processor ,Intel® Core™ i7-6920HQ Processor ,Intel® Core™ i7-6820EQ Processor ,Intel® Core™ i7-6822EQ Processor ,Intel® Core™ i7-6970HQ Processor ,Intel® Core™ i7-6785R Processor ,Intel® Core™ i7-6870HQ Processor ,Intel® Core™ i7-6770HQ Processor ,Intel® Core™ i7-6850K Processor ,Intel® Core™ i7-6800K Processor ,Intel® Core™ i7-6900K Processor ,Intel® Core™ i7-6950X Processor Extreme Edition ,Intel® Core™ i7-7500U Processor ,Intel® Core™ i7-7700T Processor ,Intel® Core™ i7-7820EQ Processor ,Intel® Core™ i7-7700 Processor ,Intel® Core™ i7-7700K Processor ,Intel® Core™ i7-7700HQ Processor ,Intel® Core™ i7-7920HQ Processor ,Intel® Core™ i7-7820HK Processor ,Intel® Core™ i7-7600U Processor ,Intel® Core™ i7-7820HQ Processor ,Intel® Core™ i7-7660U Processor ,Intel® Core™ i7-7560U Processor ,Intel® Core™ i7-7567U Processor 
Microprocessor PCIe Revision,,,,,,,,,,,,,,,Gen 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 4,Gen 4,,,,,,,,,,,,,,,,,,,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,,Gen 4,Gen 4,,Gen 4,,Gen 4,,,,,,,Gen 5,Gen 5,,Gen 5,Gen 5,,Gen 5,,,Gen 5,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipset / PCH PCIe Revision,,,,,,,,,,,,,,,Gen 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 3,Gen 3,,,,,,,,,,,,,,,,,,,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,,Gen 3,Gen 3,,Gen 3,,Gen 3,,,,,,,Gen 3,Gen 3,,Gen 3,Gen 3,,Gen 3,,,Gen 3,,,,,,,,,,,,,,,,,,,,,,,,,,

Package Specifications
Sockets Supported,FCLGA2066,FCBGA1356 | FC-BGA1356,FCLGA2066,FCLGA2066,FCBGA1356 | FC-BGA1356,FCLGA1151,FCLGA1151,FCLGA1151,FCBGA2270,FCBGA2270,FCBGA2270,FCBGA2270,FCLGA1700,FCLGA1700,FCBGA1744,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1528,,FCBGA2270,FCBGA1528,FCBGA1515,FCLGA1151,FCLGA2066,FCLGA1151,FCBGA1440,FCBGA1440,FCBGA1440,FCLGA1151,FCBGA1528,FCLGA1151,FCBGA1528,FCBGA1528,FCBGA1528,FCLGA1151,FCLGA1151,FCBGA1440,FCLGA1151,FCBGA1440,FCBGA1528,FCBGA1528,UTFCBGA1377,FCBGA1449 | FCLGA1449,FCBGA1449 | FCLGA1449,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCBGA1440,FCBGA1528,FCBGA1528,FCBGA1440,FCBGA1440,FCLGA1200,FCLGA1200,FCBGA1440,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCBGA1787,FCBGA1787,FCBGA1787,FCBGA1449,FCBGA1787,FCBGA1744,FCBGA1964,FCBGA1744,FCBGA1744,FCBGA1964,FCLGA1700,FCBGA1964,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCBGA1964,FCBGA1744,FCBGA1744,FCLGA1700,FCBGA1792,FCBGA1744,FCBGA1964,FCBGA1744,FCBGA1964,FCLGA1700,FCBGA1744,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCBGA1356 | FPBGA1356,FCLGA1151,FCBGA1440,FCLGA1151,FCLGA1151,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1356 | FPBGA1356,FCBGA1440,FCBGA1356,FCBGA1356,FCBGA1356
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thermal Solution Specification,PCG 2017X,,PCG 2017X,PCG 2017X,,PCG 2015D (130W),PCG 2015C (65W),PCG 2015A (35W),,,,,PCG 2020D,PCG 2020C,,PCG 2020C,PCG 2020C,PCG 2020A,PCG 2020A,PCG 2020D,,,,,PCG 2015D (130W),,,,PCG 2015D,PCG 2017X,PCG 2015D (130W),,,,PCG 2015A (35W),,PCG 2015C (65W),,,,PCG 2015C (65W),,,,,,,,,,PCG 2015B,PCG 2015C,PCG 2015C,PCG 2015D,PCG 2015D,,,,,,PCG 2015B,PCG 2015C,,PCG 2019A,PCG 2019A,PCG 2019D,PCG 2019C,PCG 2019C,,,,,,,,,,,,,,,PCG 2020C,PCG 2020C,PCG 2020D,,,,,PCG 2020C,,,,,,PCG 2020C,,,,,,,,PCG 2015C (65W),,,,,,,,PCG 2015A (35W),,PCG 2015C (65W),PCG 2015D (130W),,,,,,,,
TJUNCTION,100°C,100°C,100°C,99°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100,100°C,95°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,,100°C,100°C,,,,,100°C,80°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C
Package Size,,42mm X 24mm,,,42mm X 24mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,31mm x 58.5mm,31mm x 58.5mm,31mm x 58.5mm,31mm x 58.5mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,50 x 25,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,46x24,37.5mm x 37.5mm,31mm x 58.5mm,46x24,20mm X 16.5mm,37.5mm x 37.5mm,,37.5mm x 37.5mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,37.5mm x 37.5mm,46x24,37.5mm x 37.5mm,46x24,46 x 24,46x24,37.5mm x 37.5mm,37.5mm x 37.5mm,42mm x 28mm,37.5mm x 37.5mm,42mm x 28mm,46mm x 24mm,46mm x 24mm,26.5mm x 18.5mm,45.5mm x 25mm,45.5mm x 25mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,42mm x 28mm,46mm x 24mm,46mm x 24mm,42mm x 28mm,42mm x 28mm,37.5mm x 37.5mm,37.5mm x 37.5mm,42mm x 28mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,50 x 26.5,50 x 26.5,50 x 26.5,45.5mm x 25mm,50 x 26.5,50 mm x 25 mm,45.0 mm x 37.5 mm,50 x 25,50 x 25,45.0 mm x 37.5 mm,45mm x 37.5mm,45.0 mm x 37.5 mm,45mm x 37.5mm,,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,,45.0 mm x 37.5 mm,50 mm x 25 mm,50 mm x 25 mm,45.0 mm x 37.5 mm,40 mm x 25 mm,50 mm x 25 mm,45.0 mm x 37.5 mm,50 mm x 25 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,50 mm x 25 mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,,,,,42mm X 24mm,37.5mm x 37.5mm,42mm x 28mm,37.5mm x 37.5mm,37.5mm x 37.5mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm X 24mm,42mm x 28mm,42x24x1.3,42x24x1.3,42x24x1.3
Operating Temperature (Maximum),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Temperature (Minimum),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71°C,,,67.2°,67.2°,67.2°,67.3°,,,,,,,,,,,,,

Advanced Technologies
Intel® Optane™ Memory Supported ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,Yes,,Yes,Yes,,,,Yes,,,,
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,64-bit,64-bit,64-bit,64-bit,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,,,,,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Intel® Speed Shift Technology,,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
