4G WiMAX Wireless Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,,,,,No,Yes,No,,No,No,No,No,No,No,No,,,No,,No,,
Intel® VT-x with Extended Page Tables (EPT) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,

Security & Reliability
Intel® AES New Instructions,No,No,No,No,,,No,No,No,,No,No,,No,No,No,No,No,No,No,,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,No,No,,,No,No,No,,,,,,,No,,No,No,No,No,No,,,,,,,,,,,,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Intel® Trusted Execution Technology ‡,No,No,No,No,No,,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Execute Disable Bit ‡,No,No,No,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
Intel® Virtualization Technology (VT-x) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Intel® VT-x with Extended Page Tables (EPT) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,,,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,,Yes,,,Yes
Anti-Theft Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,,No,No,No,No,No,No,,No,No,No,No,No,No,No,,,No,,No,No,

CPU Specifications
# of Cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,1,,1,1,2,1,2,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,1,1
Total Threads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,1,,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2
Processor Base Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86 GHz,1.33 GHz,1.86 GHz,1.06 GHz,1.20 GHz,1.06 GHz,2.00 GHz,2.40 GHz,2.00 GHz,2.50 GHz,2.10 GHz,2.60 GHz,2.20 GHz,,,1.60 GHz,1.60 GHz,1.10 GHz,1.40 GHz,,1.60 GHz,1.60 GHz,1.50 GHz,1.30 GHz,1.20 GHz,1.90 GHz,1.00 GHz,1.80 GHz,1.40 GHz,1.30 GHz,1.60 GHz,1.70 GHz,1.40 GHz,1.70 GHz,1.50 GHz,1.30 GHz,2.70 GHz,1.50 GHz,1.90 GHz,1.80 GHz,1.50 GHz,2.00 GHz
Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 MB Intel® Smart Cache,2 MB L3 Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,,,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,1.5 MB Intel® Smart Cache,,1 MB Intel® Smart Cache,1.5 MB L3 Cache,2 MB L3 Cache,1.5 MB L3 Cache,2 MB L3 Cache,2 MB L3 Cache,1 MB Intel® Smart Cache,1.5 MB Intel® Smart Cache,1.5 MB L3 Cache,2 MB L3 Cache,2 MB L3 Cache,1.5 MB L3 Cache,2 MB L3 Cache,2 MB,1.5 MB L3 Cache,1.5 MB L3 Cache,2 MB Intel® Smart Cache,2 MB L3 Cache,1.5 MB Intel® Smart Cache,2 MB L3 Cache,1 MB Intel® Smart Cache,1.5 MB Intel® Smart Cache
Bus Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 GT/s,0,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,,,,,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s
TDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 W,30 W,35 W,18 W,18 W,18 W,35 W,65 W,35 W,65 W,35 W,65 W,35 W,,,35 W,35 W,17 W,17 W,,35 W,35 W,35 W,17 W,17 W,35 W,10 W,35 W,17 W,17 W,35 W,35 W,17 W,35 W,17 W,10 W,65 W,17 W,35 W,35 W,17 W,35 W
# of QPI Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Processor Graphics
Processor Graphics ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel® HD Graphics for Previous Generation Intel® Processors,,Intel® HD Graphics for Previous Generation Intel® Processors,Intel® HD Graphics for Previous Generation Intel® Processors,Intel® HD Graphics for Previous Generation Intel® Processors,Intel® HD Graphics for Previous Generation Intel® Processors,Intel® HD Graphics for Previous Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,,,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 2nd Generation Intel® Processors
Graphics Base Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 MHz,,500 MHz,166 MHz,166 MHz,166 MHz,500 MHz,850 MHz,650 MHz,850 MHz,650 MHz,850 MHz,650 MHz,,,650 MHz,650 MHz,350 MHz,350 MHz,350 MHz,650 MHz,650 MHz,650 MHz,350 MHz,350 MHz,650 MHz,350 MHz,650 MHz,350 MHz,350 MHz,650 MHz,650 MHz,350 MHz,650 MHz,350 MHz,,850 MHz,350 MHz,650 MHz,650 MHz,350 MHz,650 MHz
Graphics Max Dynamic Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667 MHz,,667 MHz,500 MHz,500 MHz,500 MHz,667 MHz,1.00 GHz,1.00 GHz,1.00 GHz,1.00 GHz,1.00 GHz,1.00 GHz,,,950 MHz,1.00 GHz,800 MHz,800 MHz,800 MHz,1.00 GHz,1.00 GHz,1.00 GHz,950 MHz,1.00 GHz,1.00 GHz,800 MHz,1.00 GHz,950 MHz,1.00 GHz,1.05 GHz,1.00 GHz,1.00 GHz,1.05 GHz,950 MHz,,1.00 GHz,1.00 GHz,1.00 GHz,1.05 GHz,900 MHz,1.00 GHz
Intel® Flexible Display Interface (Intel® FDI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
Intel® Clear Video Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,No,No,No,,,,,,,,,,,,,,No,,,,,No,,,,
Macrovision* License Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,No,No,NO,No,,,,,,,,,No,No,No,No,No,,No,No,No,No,No,,,No,No,No,No,,,,,,,,,,
# of Displays Supported ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,2,2,2,2,2,2
Intel® Clear Video HD Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No
Intel® Quick Sync Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No
Intel® InTru™ 3D Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No
Graphics Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,,,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,,,eDP/DP/HDMI/SDVO/CRT,,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,

Expansion Options
PCI Express Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0
PCI Express Configurations ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1x16,,1X16 |  2X8,1x16,1x16,1x16 |  2x8,1x16,,,,,,,,,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,,,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 or 2x8 or 1x8  2x4,,1x16 |  2x8 |  1x8 2x4,,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 & 2x4,
Max # of PCI Express Lanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,16,16,16,16,,,,,,,,,16,16,16,16,16,,16,16,16,16,16,,,16,16,16,16,16,16,16,16,,16,,16,1,
